paulo,paulo@gmail.com,5 343433434
kainna,kainna@gmail.com,21 43434343
gustavo,gustavo@gmail,sem telefone
pedro,pedro@gmail.com,4343343434
,paulo@gmail.com,
,xavierpaulo@gmail.com,
ab,cd,33433434
emanuel,emanuel@gmailc.com,sem telefone
sem nome,emanuel@gmail,sem telefone
p,p@gmail,455454545
p,p@gmail.com,sem telefone
p,p@gmail.com,sem telefone
teste
p,p@gmail.com,sem telefone
edison,edison@gmail,141515151
edison,edison@gmail.com,4151515
edison,dfadasdasdada@gmail,44444
edison,dfadasdasdada@gmail,44444
maria,maria@gmail,454555
paulao,paulao@gmail.com,44545454454544545
